Class,Agent,Year,DET,DTC,Actual Sales
SSRI,  Paxil CR,2003,85.192397,60.550137,8.309168
SSRI,  Prozac,2003,6.24087,0,1.426541
SSRI,  Prozac Weekly,2003,8.524242,0,0.914632
SSRI,  Zoloft,2003,109.461457,114.184917,28.576171
Statin,  Altoprev,2003,35.566798,0,0.525355
Statin,  Crestor,2003,81.342913,0,0.411377
Statin,  Lescol,2003,3.741732,0.007799,2.512279
Statin,  Lescol XL,2003,33.028395,0.360914,2.848737
Statin,  Lipitor,2003,139.640299,108.320928,58.691802
Statin,  Mevacor,2003,0.586701,0,0.138582
Statin,  Pravachol,2003,45.040956,27.117298,13.572884
Statin,  Zocor,2003,109.059511,80.871544,24.215013
PPI,  Aciphex,2004,82.980347,1.267053,8.003831
PPI,  Nexium,2004,168.068261,240.354997,20.649888
PPI,  Prevacid,2004,110.282574,120.955239,21.842212
PPI,  Prilosec,2004,3.196917,0.632684,1.444019
PPI,  Protonix,2004,104.348749,0.0406,16.709887
SSRI,  Celexa,2004,3.720968,0,10.241783
SSRI,  Lexapro,2004,223.023132,0.259484,22.392426
SSRI,  Luvox,2004,0.060146,0,0.001578
SSRI,  Paxil,2004,9.422208,0,1.784635
SSRI,  Paxil CR,2004,84.331653,41.205036,9.087311
SSRI,  Pexeva,2004,5.551903,0,0.017165
SSRI,  Prozac,2004,1.693689,0.000015,0.984276
SSRI,  Prozac Weekly,2004,0.872107,0,0.610749
SSRI,  Zoloft,2004,124.044647,84.352406,28.755216
Statin,  Altoprev,2004,17.02469,0,0.776164
Statin,  Crestor,2004,200.903144,213.315813,6.35936
Statin,  Lescol,2004,3.777233,0,1.886817
Statin,  Lescol XL,2004,27.344742,0,2.85112
Statin,  Lipitor,2004,152.510687,110.708246,62.540586
Statin,  Mevacor,2004,0.539181,0,0.081039
Statin,  Pravachol,2004,44.969333,22.990159,12.034708
Statin,  Zocor,2004,111.35986,89.560619,23.804312
PPI,  Aciphex,2005,76.145394,0.000934,7.081219
PPI,  Nexium,2005,172.818609,225.843864,22.883314
PPI,  Prevacid,2005,103.930901,71.377779,22.152398
PPI,  Prilosec,2005,2.641703,0,0.951411
PPI,  Protonix,2005,87.898666,0.62338,16.402055
SSRI,  Celexa,2005,2.7421,0,0.895204
SSRI,  Lexapro,2005,201.443873,1.177194,24.787606
SSRI,  Luvox,2005,0,0,0.000215
SSRI,  Paxil,2005,5.451317,0,0.733173
SSRI,  Paxil CR,2005,60.387439,0.108738,3.609225
SSRI,  Pexeva,2005,4.440224,0,0.119316
SSRI,  Prozac,2005,0.643463,0.349014,0.749541
SSRI,  Prozac Weekly,2005,0.354139,0.173527,0.3333
SSRI,  Zoloft,2005,140.697792,46.737107,26.975518
Statin,  Altoprev,2005,3.482058,0,0.61686
Statin,  Crestor,2005,130.59071,141.833423,7.796654
Statin,  Lescol,2005,2.40875,0,1.400995
Statin,  Lescol XL,2005,17.090351,0,2.534272
Statin,  Lipitor,2005,146.487393,93.479983,63.21864
Statin,  Mevacor,2005,0.632267,0,0.052673
Statin,  Pravachol,2005,31.582893,0.18792,9.73292
Statin,  Zocor,2005,109.885834,47.950215,22.325422
PPI,  Aciphex,2006,70.012538,0,6.916024
PPI,  Nexium,2006,140.338329,180.615249,25.9151
PPI,  Prevacid,2006,104.225665,4.236826,21.178552
PPI,  Prilosec,2006,3.155297,0.001695,0.878814
PPI,  Protonix,2006,86.191805,16.698387,16.087808
SSRI,  Celexa,2006,1.306436,0,0.390987
SSRI,  Lexapro,2006,215.606878,2.466674,26.001888
SSRI,  Luvox,2006,0,0,0.00024
SSRI,  Paxil,2006,3.856402,0,0.176412
SSRI,  Paxil CR,2006,17.930855,0,3.260174
SSRI,  Pexeva,2006,3.873557,0,0.125996
SSRI,  Prozac,2006,0.668216,0,0.541682
SSRI,  Prozac Weekly,2006,0.448969,0,0.227582
SSRI,  Zoloft,2006,52.705119,12.521239,18.833897
Statin,  Altoprev,2006,1.976065,0,0.502419
Statin,  Crestor,2006,146.650886,185.501581,11.465538
Statin,  Lescol,2006,0.486008,0,0.969979
Statin,  Lescol XL,2006,1.576647,0,2.02345
Statin,  Lipitor,2006,197.25032,142.618065,62.038912
Statin,  Mevacor,2006,0.351439,0,0.035462
Statin,  Pravachol,2006,4.284759,0.001969,4.099158
Statin,  Zocor,2006,34.884308,0.334949,14.676492
PPI,  Aciphex,2007,59.205402,8.931548,6.382028
PPI,  Nexium,2007,159.71374,99.358913,26.416375
PPI,  Prevacid,2007,110.677125,0.157849,20.390511
PPI,  Prilosec,2007,2.670799,0.00064,0.811593
PPI,  Protonix,2007,83.261186,9.233051,16.061009
SSRI,  Celexa,2007,3.145264,0,0.265215
SSRI,  Lexapro,2007,243.330312,0.596304,26.976632
SSRI,  Luvox,2007,0,0,0.000216
SSRI,  Paxil,2007,2.072501,0.005875,0.158179
SSRI,  Paxil CR,2007,1.729543,0.03394,2.50075
SSRI,  Pexeva,2007,7.073332,0,0.149637
SSRI,  Prozac,2007,0.45965,0,0.435687
SSRI,  Prozac Weekly,2007,0.456505,0,0.163549
SSRI,  Zoloft,2007,2.913488,0.002505,1.711282
Statin,  Altoprev,2007,0.883556,0,0.313737
Statin,  Crestor,2007,153.430868,55.80858,13.742292
Statin,  Lescol,2007,0.380324,0,0.654467
Statin,  Lescol XL,2007,1.24185,0,1.405406
Statin,  Lipitor,2007,203.976518,183.080427,54.972673
Statin,  Mevacor,2007,0.151015,0,0.025681
Statin,  Pravachol,2007,0.389081,0,0.78185
Statin,  Zocor,2007,4.62891,0.066801,0.870438
